Notes,State,State Code,Year,Year Code,Deaths,Population,Crude Rate
,Alabama,1,1999,1999,116,4430141,2.6184
,Alabama,1,2000,2000,130,4447100,2.9233
,Alabama,1,2001,2001,166,4467634,3.7156
,Alabama,1,2002,2002,171,4480089,3.8169
,Alabama,1,2003,2003,155,4503491,3.4418
,Alabama,1,2004,2004,223,4530729,4.9219
,Alabama,1,2005,2005,217,4569805,4.7486
,Alabama,1,2006,2006,310,4628981,6.6969
,Alabama,1,2007,2007,424,4672840,9.0737
,Alabama,1,2008,2008,485,4718206,10.2793
,Alabama,1,2009,2009,537,4757938,11.2864
,Alabama,1,2010,2010,463,4779736,9.6867
,Alabama,1,2011,2011,485,4802740,10.0984
,Alabama,1,2012,2012,478,4822023,9.9129
,Alabama,1,2013,2013,520,4833722,10.7578
,Alabama,1,2014,2014,639,4849377,13.177
,Alabama,1,2015,2015,657,4858979,13.5214
,Alabama,1,2016,2016,680,4863300,13.9823
Total,Alabama,1,,,6856,84016831,8.1603
,Alaska,2,1999,1999,27,624779,4.3215
,Alaska,2,2000,2000,36,626932,5.7422
,Alaska,2,2001,2001,53,633714,8.3634
,Alaska,2,2002,2002,69,642337,10.742
,Alaska,2,2003,2003,72,648414,11.104
,Alaska,2,2004,2004,64,659286,9.7075
,Alaska,2,2005,2005,62,666946,9.2961
,Alaska,2,2006,2006,66,675302,9.7734
,Alaska,2,2007,2007,63,680300,9.2606
,Alaska,2,2008,2008,91,687455,13.2372
,Alaska,2,2009,2009,101,698895,14.4514
,Alaska,2,2010,2010,74,710231,10.4191
,Alaska,2,2011,2011,97,722718,13.4216
,Alaska,2,2012,2012,113,731449,15.4488
,Alaska,2,2013,2013,92,735132,12.5148
,Alaska,2,2014,2014,103,736732,13.9807
,Alaska,2,2015,2015,105,738432,14.2193
,Alaska,2,2016,2016,103,741894,13.8834
Total,Alaska,2,,,1391,12360948,11.2532
,Arizona,4,1999,1999,362,5023823,7.2057
,Arizona,4,2000,2000,399,5130632,7.7768
,Arizona,4,2001,2001,429,5273477,8.1351
,Arizona,4,2002,2002,464,5396255,8.5986
,Arizona,4,2003,2003,512,5510364,9.2916
,Arizona,4,2004,2004,549,5652404,9.7127
,Arizona,4,2005,2005,585,5839077,10.0187
,Arizona,4,2006,2006,663,6029141,10.9966
,Arizona,4,2007,2007,697,6167681,11.3008
,Arizona,4,2008,2008,621,6280362,9.888
,Arizona,4,2009,2009,757,6343154,11.9341
,Arizona,4,2010,2010,843,6392017,13.1883
,Arizona,4,2011,2011,811,6482505,12.5106
,Arizona,4,2012,2012,843,6553255,12.8638
,Arizona,4,2013,2013,942,6626624,14.2154
,Arizona,4,2014,2014,934,6731484,13.8751
,Arizona,4,2015,2015,998,6828065,14.6161
,Arizona,4,2016,2016,1141,6931071,16.4621
Total,Arizona,4,,,12550,109191391,11.4936
,Arkansas,5,1999,1999,31,2651860,1.169
,Arkansas,5,2000,2000,46,2673400,1.7207
,Arkansas,5,2001,2001,40,2691571,1.4861
,Arkansas,5,2002,2002,59,2705927,2.1804
,Arkansas,5,2003,2003,61,2724816,2.2387
,Arkansas,5,2004,2004,93,2749686,3.3822
,Arkansas,5,2005,2005,109,2781097,3.9193
,Arkansas,5,2006,2006,135,2821761,4.7842
,Arkansas,5,2007,2007,129,2848650,4.5285
,Arkansas,5,2008,2008,197,2874554,6.8532
,Arkansas,5,2009,2009,220,2896843,7.5945
,Arkansas,5,2010,2010,227,2915918,7.7849
,Arkansas,5,2011,2011,260,2937979,8.8496
,Arkansas,5,2012,2012,257,2949131,8.7144
,Arkansas,5,2013,2013,216,2959373,7.2988
,Arkansas,5,2014,2014,251,2966369,8.4615
,Arkansas,5,2015,2015,274,2978204,9.2002
,Arkansas,5,2016,2016,296,2988248,9.9055
Total,Arkansas,5,,,2901,51115387,5.6754
,California,6,1999,1999,2157,33499204,6.439
,California,6,2000,2000,1519,33871648,4.4846
,California,6,2001,2001,976,34479458,2.8307
,California,6,2002,2002,2318,34871843,6.6472
,California,6,2003,2003,2399,35253159,6.8051
,California,6,2004,2004,2424,35574576,6.8139
,California,6,2005,2005,2529,35827943,7.0587
,California,6,2006,2006,2760,36021202,7.6622
,California,6,2007,2007,3059,36250311,8.4385
,California,6,2008,2008,3043,36604337,8.3132
,California,6,2009,2009,3236,36961229,8.7551
,California,6,2010,2010,3182,37253956,8.5414
,California,6,2011,2011,3359,37691912,8.9117
,California,6,2012,2012,3290,38041430,8.6485
,California,6,2013,2013,3647,38332521,9.5141
,California,6,2014,2014,3780,38802500,9.7416
,California,6,2015,2015,4002,39144818,10.2236
,California,6,2016,2016,3985,39250017,10.1529
Total,California,6,,,51665,657732064,7.855
,Colorado,8,1999,1999,193,4226018,4.5669
,Colorado,8,2000,2000,220,4301261,5.1148
,Colorado,8,2001,2001,240,4425687,5.4229
,Colorado,8,2002,2002,289,4490406,6.4359
,Colorado,8,2003,2003,322,4528732,7.1102
,Colorado,8,2004,2004,331,4575013,7.235
,Colorado,8,2005,2005,416,4631888,8.9812
,Colorado,8,2006,2006,436,4720423,9.2365
,Colorado,8,2007,2007,507,4803868,10.554
,Colorado,8,2008,2008,536,4889730,10.9618
,Colorado,8,2009,2009,564,4972195,11.3431
,Colorado,8,2010,2010,471,5029196,9.3653
,Colorado,8,2011,2011,636,5116796,12.4297
,Colorado,8,2012,2012,598,5187582,11.5275
,Colorado,8,2013,2013,602,5268367,11.4267
,Colorado,8,2014,2014,679,5355866,12.6777
,Colorado,8,2015,2015,707,5456574,12.9568
,Colorado,8,2016,2016,783,5540545,14.1322
Total,Colorado,8,,,8530,87520147,9.7463
,Connecticut,9,1999,1999,232,3386401,6.8509
,Connecticut,9,2000,2000,250,3405565,7.3409
,Connecticut,9,2001,2001,228,3432835,6.6417
,Connecticut,9,2002,2002,297,3458749,8.5869
,Connecticut,9,2003,2003,246,3484336,7.0602
,Connecticut,9,2004,2004,274,3496094,7.8373
,Connecticut,9,2005,2005,251,3506956,7.1572
,Connecticut,9,2006,2006,347,3517460,9.8651
,Connecticut,9,2007,2007,357,3527270,10.1211
,Connecticut,9,2008,2008,336,3545579,9.4766
,Connecticut,9,2009,2009,320,3561807,8.9842
,Connecticut,9,2010,2010,298,3574097,8.3378
,Connecticut,9,2011,2011,340,3580709,9.4953
,Connecticut,9,2012,2012,375,3590347,10.4447
,Connecticut,9,2013,2013,507,3596080,14.0987
,Connecticut,9,2014,2014,554,3596677,15.4031
,Connecticut,9,2015,2015,720,3590886,20.0508
,Connecticut,9,2016,2016,881,3576452,24.6334
Total,Connecticut,9,,,6813,63428300,10.7413
,Delaware,10,1999,1999,42,774990,5.4194
,Delaware,10,2000,2000,39,783600,4.977
,Delaware,10,2001,2001,39,795699,4.9014
,Delaware,10,2002,2002,65,806169,8.0628
,Delaware,10,2003,2003,59,818003,7.2127
,Delaware,10,2004,2004,42,830803,5.0554
,Delaware,10,2005,2005,49,845150,5.7978
,Delaware,10,2006,2006,60,859268,6.9827
,Delaware,10,2007,2007,69,871749,7.9151
,Delaware,10,2008,2008,97,883874,10.9744
,Delaware,10,2009,2009,102,891730,11.4384
,Delaware,10,2010,2010,117,897934,13.0299
,Delaware,10,2011,2011,119,907135,13.1182
,Delaware,10,2012,2012,111,917092,12.1035
,Delaware,10,2013,2013,131,925749,14.1507
,Delaware,10,2014,2014,152,935614,16.246
,Delaware,10,2015,2015,169,945934,17.8659
,Delaware,10,2016,2016,264,952065,27.7292
Total,Delaware,10,,,1726,15642558,11.034
,District of Columbia,11,1999,1999,47,570213,8.2425
,District of Columbia,11,2000,2000,70,572059,12.2365
,District of Columbia,11,2001,2001,85,574504,14.7954
,District of Columbia,11,2002,2002,54,573158,9.4215
,District of Columbia,11,2003,2003,90,568502,15.8311
,District of Columbia,11,2004,2004,70,567754,12.3293
,District of Columbia,11,2005,2005,51,567136,8.9926
,District of Columbia,11,2006,2006,85,570681,14.8945
,District of Columbia,11,2007,2007,38,574404,6.6156
,District of Columbia,11,2008,2008,36,580236,6.2044
,District of Columbia,11,2009,2009,14,592228,Unreliable
,District of Columbia,11,2010,2010,61,601723,10.1376
,District of Columbia,11,2011,2011,64,617996,10.3561
,District of Columbia,11,2012,2012,61,632323,9.647
,District of Columbia,11,2013,2013,77,646449,11.9112
,District of Columbia,11,2014,2014,80,658893,12.1416
,District of Columbia,11,2015,2015,114,672228,16.9585
,District of Columbia,11,2016,2016,241,681170,35.3803
Total,District of Columbia,11,,,1338,10821657,12.3641
